section,section_title,lecture,title,type,seconds,pass,objectives
1,Introduction,1,Introduction,Video,171,⏭️,
1,Introduction,2,Welcome to Udemy,Article,55,⏭️,
1,Introduction,3,How to get the best out of your Udemy course,Video,185,⏭️,
1,Introduction,4,Do you want auto-translated subtitles in more languages?,Article,80,⏭️,
1,Introduction,5,Curriculum,Video,330,⏭️,
1,Introduction,6,Resources,Article,9,⏭️,
2,Signing into the Power Platform and creating an environment,7,Licensing for Power Apps,Video,419,🎧,
2,Signing into the Power Platform and creating an environment,8,"Why do I need a Work email address? And how can I get one, if I don't have it?",Video,747,⏭️,
2,Signing into the Power Platform and creating an environment,9,"4. Creating and environment, including recommend environment types",Video,467,🎧,AB410-1.1.4
2,Signing into the Power Platform and creating an environment,10,5. Creating a Power Platform solution and making it the default solution,Video,438,👀,AB410-1.1.5
2,Signing into the Power Platform and creating an environment,11,23. Quickly creating a canvas app,Video,268,👀,AB410-2.2.1
2,Signing into the Power Platform and creating an environment,12,19. Quickly creating a model-driven app,Video,508,👀,AB410-2.1.4
3,Creating Expenses tables in the Dataverse,13,"6, 8, 9, 10. Create and edit tables in the data workspace",Video,555,👀,AB410-1.2.1 AB410-1.2.3 AB410-1.2.4 AB410-1.2.5
3,Creating Expenses tables in the Dataverse,14,7. Create and modify standard tables,Video,253,👀,AB410-1.2.2
3,Creating Expenses tables in the Dataverse,15,8. Configure table properties,Video,184,👀,AB410-1.2.3
3,Creating Expenses tables in the Dataverse,16,9. Create and modify columns,Video,620,👀,AB410-1.2.4
3,Creating Expenses tables in the Dataverse,17,19. Creating a model-driven app based on the Employee table,Video,98,👀,AB410-2.1.4
4,Create model-driven apps forms and views,18,19. How to compose a model-driven app,Video,175,🎧,AB410-2.1.4
4,Create model-driven apps forms and views,19,"14, 16. Create and configure forms for model-driven apps",Video,539,👀,AB410-1.2.9 AB410-2.1.1
4,Create model-driven apps forms and views,20,20. Configure access to forms for model-driven apps,Video,415,👀,AB410-2.1.5
4,Create model-driven apps forms and views,21,"13, 17, 20. Configure public views and configuring access",Video,428,👀,AB410-1.2.8 AB410-2.1.2 AB410-2.1.5
4,Create model-driven apps forms and views,22,17. Create and configure personal views for model-driven apps,Video,267,👀,AB410-2.1.2
5,Refining our model-driven app,23,22a. Create and configure model-driven app charts,Video,532,👀,AB410-2.1.7
5,Refining our model-driven app,24,22b. Create and configure model-driven app single-stream dashboards,Video,330,👀,AB410-2.1.7
5,Refining our model-driven app,25,22b. Create and configure model-driven app multi-stream dashboards,Video,315,👀,AB410-2.1.7
5,Refining our model-driven app,26,18. Create generative pages by using natural language,Video,481,👀,AB410-2.1.3
5,Refining our model-driven app,27,21. Configure access to model-driven apps,Video,130,👀,AB410-2.1.6
6,"Building relationships and calculated, formula and rollup columns",28,Creating an ExpenseClaim table,Video,268,👀,
6,"Building relationships and calculated, formula and rollup columns",29,10. Configure table relationships,Video,440,🎧,AB410-1.2.5
6,"Building relationships and calculated, formula and rollup columns",30,Adding the Expense table into our model-driven app and adding data,Video,521,👀,
6,"Building relationships and calculated, formula and rollup columns",31,Adding an Expense subgrid into the Employee form,Video,151,👀,
6,"Building relationships and calculated, formula and rollup columns",32,47a. Creating calculated columns,Video,550,👀,AB410-3.3.3
6,"Building relationships and calculated, formula and rollup columns",33,47c. Creating formula columns,Video,300,👀,AB410-3.3.3
6,"Building relationships and calculated, formula and rollup columns",34,47b. Creating rollup columns,Video,380,👀,AB410-3.3.3
7,"Configure row summaries and security, and Implement business and process logic",35,12. Configure row summaries,Video,414,👀,AB410-1.2.7
7,"Configure row summaries and security, and Implement business and process logic",36,15. Configure security,Video,539,🎧,AB410-1.2.10
7,"Configure row summaries and security, and Implement business and process logic",37,"45, 48. Configure business rules",Video,599,🎧,AB410-3.3.1 AB410-3.3.4
